cve_id,crate_name,version_range,target_function_paths
RUSTSEC-2021-0083,derive-com-impl,<=0.1.1,derive_com_impl::derive_com_impl
RUSTSEC-2021-0037,diesel,<1.4.6,diesel::SqliteConnection::query_by_name
RUSTSEC-2024-0021,eyre,">=0.6.9, <0.6.12",eyre::Report::downcast
RUSTSEC-2019-0036,failure,>=0.1.0,failure::Fail::__private_get_type_id__
RUSTSEC-2025-0003,fast-float,* ,fast_float::common::AsciiStr::first
RUSTSEC-2025-0002,fast-float2,<0.2.2,fast_float2::common::AsciiStr::first
RUSTSEC-2019-0028,flatbuffers,>=0.4.0,flatbuffers::Follow::follow
RUSTSEC-2019-0028,flatbuffers,<=0.6.0,flatbuffers::Follow::follow
RUSTSEC-2020-0009,flatbuffers,>=0.4.0,flatbuffers::read_scalar
RUSTSEC-2020-0009,flatbuffers,>=0.4.0,flatbuffers::read_scalar_at
RUSTSEC-2021-0038,fltk,"<0.15.2, >=0.14.12",fltk::image::Pixmap::new
RUSTSEC-2021-0038,fltk,<0.15.2,fltk::prelude::WidgetExt::set_label_type
RUSTSEC-2021-0038,fltk,<0.14.12,fltk::prelude::WindowExt::set_icon
RUSTSEC-2021-0123,fruity,"<0.3.0, >=0.1.0",fruity::foundation::NSString::to_str
RUSTSEC-2021-0123,fruity,"<0.3.0, >=0.1.0",fruity::foundation::NSString::to_str_with_nul
RUSTSEC-2021-0123,fruity,"<0.3.0, >=0.1.0",fruity::foundation::NSString::to_string
RUSTSEC-2021-0123,fruity,"<0.3.0, >=0.1.0",fruity::foundation::NSString::to_string_with_nul
RUSTSEC-2020-0061,futures-task,>=0.3.0,futures_task::noop_waker_ref
RUSTSEC-2020-0060,futures-task,>=0.3.0,futures_task::waker
RUSTSEC-2020-0059,futures-util,>=0.3.2,futures_util::lock::MutexGuard::map
RUSTSEC-2020-0062,futures-util,>=0.3.0,futures_util::stream::FuturesUnordered
RUSTSEC-2024-0435,fyrox-core,">=0.28.1, <=0.36",fyrox_core::transmute_vec_as_bytes
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::bytes
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::bytes_of_file
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::bytes_with_hasher
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::hasher
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::Hasher::digest
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::Hasher::update
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::Write::flush
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::Write::new
RUSTSEC-2025-0021,gix-features,<0.41.0,gix_features::hash::Write::write
RUSTSEC-2024-0355,gix-path,< 0.10.9,gix_path::env::exe_invocation
RUSTSEC-2024-0355,gix-path,< 0.10.9,gix_path::env::installation_config
RUSTSEC-2024-0367,gix-path,< 0.10.10,gix_path::env::installation_config
RUSTSEC-2024-0371,gix-path,< 0.10.11,gix_path::env::installation_config
RUSTSEC-2024-0355,gix-path,< 0.10.9,gix_path::env::installation_config_prefix
RUSTSEC-2024-0367,gix-path,< 0.10.10,gix_path::env::installation_config_prefix
RUSTSEC-2024-0371,gix-path,< 0.10.11,gix_path::env::installation_config_prefix
RUSTSEC-2024-0355,gix-path,< 0.10.9,gix_path::env::system_prefix
RUSTSEC-2025-0001,gix-worktree-state,<0.17.0,gix_worktree_state::checkout
RUSTSEC-2024-0429,glib,">=0.15.0, <0.20.0",glib::VariantStrIter::last
RUSTSEC-2024-0429,glib,">=0.15.0, <0.20.0",glib::VariantStrIter::next
RUSTSEC-2024-0429,glib,">=0.15.0, <0.20.0",glib::VariantStrIter::next_back
RUSTSEC-2024-0429,glib,">=0.15.0, <0.20.0",glib::VariantStrIter::nth
RUSTSEC-2024-0429,glib,">=0.15.0, <0.20.0",glib::VariantStrIter::nth_back
RUSTSEC-2025-0005,grcov,<=0.8.20,grcov::covdir::get_coverage
RUSTSEC-2021-0071,grep-cli,<0.1.6,grep_cli::DecompressionReader::new
RUSTSEC-2024-0402,hashbrown,,hashbrown::HashMap::borsh_serialize
RUSTSEC-2020-0145,heapless,<=0.6,heapless::vec::IntoIter::clone
RUSTSEC-2025-0006,hickory-proto,>=0.25.0-alpha.5,hickory_proto::dnssec::DnssecDnsHandle::send
RUSTSEC-2025-0006,hickory-proto,>=0.24.3,hickory_proto::xfer::DnssecDnsHandle::send
RUSTSEC-2025-0006,hickory-proto,<0.25.0,hickory_proto::xfer::DnssecDnsHandle::send
RUSTSEC-2019-0034,http,<0.1.20,http::header::HeaderMap::drain
RUSTSEC-2019-0033,http,<0.1.20,http::header::HeaderMap::reserve
RUSTSEC-2022-0049,iana-time-zone,">0.1.42, <0.1.45",iana_time_zone::get_timezone
RUSTSEC-2021-0068,iced-x86,<=1.10.3,iced_x86::Decoder::new
RUSTSEC-2025-0050,id-map,">=0.1.6, <=0.2.1",id_map::IdMap::from_iter
RUSTSEC-2020-0073,image,<0.23.12,image::Bgr::from_slice_mut
RUSTSEC-2020-0073,image,<0.23.12,image::Bgra::from_slice_mut
RUSTSEC-2019-0014,image,"<0.21.3, >=0.10.2",image::hdr::HDRDecoder::read_image_transform
RUSTSEC-2020-0073,image,<0.23.12,image::Luma::from_slice_mut
RUSTSEC-2020-0073,image,<0.23.12,image::LumaA::from_slice_mut
RUSTSEC-2020-0073,image,<0.23.12,image::Rgb::from_slice_mut
RUSTSEC-2020-0073,image,<0.23.12,image::Rgba::from_slice_mut
RUSTSEC-2023-0048,intaglio,<1.9.0,intaglio::bytes::SymbolTable::intern
RUSTSEC-2023-0048,intaglio,"<1.9.0, >=1.5.0",intaglio::cstr::SymbolTable::intern
RUSTSEC-2023-0048,intaglio,"<1.9.0, >=1.5.0",intaglio::osstr::SymbolTable::intern
RUSTSEC-2023-0048,intaglio,"<1.9.0, >=1.5.0",intaglio::path::SymbolTable::intern
RUSTSEC-2023-0048,intaglio,<1.9.0,intaglio::SymbolTable::intern
RUSTSEC-2020-0017,internment,>=0.3.12,internment::ArcIntern::drop
RUSTSEC-2021-0143,kamadak-exif,">=0.5.2, <0.5.3",kamadak_exif::Reader::read_from_container
RUSTSEC-2024-0428,kvm-ioctls,<=0.19.0,kvm_ioctls::ioctls::vm::VmFd::create_device
RUSTSEC-2020-0069,lettre,<0.10.0-alpha.1,lettre::sendmail::SendmailTransport::send
RUSTSEC-2021-0069,lettre,<0.10.0-alpha.1,lettre::smtp::SmtpTransport::send
RUSTSEC-2020-0069,lettre,">=0.10.0-alpha.1, <=0.10.0-alpha.3",lettre::transport::sendmail::SendmailTransport::send
RUSTSEC-2020-0069,lettre,">=0.10.0-alpha.1, <=0.10.0-alpha.3",lettre::transport::sendmail::SendmailTransport::send_raw
RUSTSEC-2021-0069,lettre,">=0.10.0-alpha.1, <0.10.0-rc.3",lettre::transport::smtp::SmtpTransport::send
RUSTSEC-2021-0069,lettre,">=0.10.0-alpha.1, <0.10.0-rc.3",lettre::transport::smtp::SmtpTransport::send_raw
RUSTSEC-2024-0424,libafl,<0.11.2,libafl::observers::map::HitcountsMapObserver::post_exec
RUSTSEC-2019-0010,libflate,"<0.1.25, >=0.1.14",libflate::gzip::MultiDecoder::read
RUSTSEC-2024-0013,libgit2-sys,<0.16.2,libgit2_sys::git_index_add
RUSTSEC-2024-0013,libgit2-sys,"<0.16.2, >=0.13.0",libgit2_sys::git_revparse_single
RUSTSEC-2022-0009,libp2p-core,>=0.30.0-rc.1,libp2p_core::PeerRecord::from_signed_envelope
RUSTSEC-2018-0021,libpulse-binding,<1.2.1,libpulse_binding::stream::Stream::get_context
RUSTSEC-2018-0021,libpulse-binding,<1.2.1,libpulse_binding::stream::Stream::get_format_info
RUSTSEC-2019-0027,libsecp256k1,<0.3.1,libsecp256k1::Scalar::check_overflow
RUSTSEC-2020-0070,lock_api,>=0.1.0,lock_api::MappedMutexGuard
RUSTSEC-2020-0070,lock_api,>=0.1.0,lock_api::MappedRwLockReadGuard
RUSTSEC-2020-0070,lock_api,>=0.1.0,lock_api::MappedRwLockWriteGuard
RUSTSEC-2020-0070,lock_api,>=0.1.0,lock_api::RwLockReadGuard
RUSTSEC-2020-0070,lock_api,>=0.1.0,lock_api::RwLockWriteGuard
RUSTSEC-2021-0130,lru,<0.7.1,lru::LruCache::iter
RUSTSEC-2021-0130,lru,<0.7.1,lru::LruCache::iter_mut
RUSTSEC-2022-0067,lzf,<0.3.2,lzf::compress
RUSTSEC-2022-0067,lzf,<0.3.2,lzf::decompress
RUSTSEC-2023-0054,mail-internals,>=0.2.0,mail_internals::utils::vec_insert_bytes
RUSTSEC-2023-0017,maligned,* ,maligned::align_first
RUSTSEC-2023-0017,maligned,* ,maligned::align_first_boxed
RUSTSEC-2023-0017,maligned,* ,maligned::align_first_boxed_cloned
RUSTSEC-2023-0017,maligned,* ,maligned::align_first_boxed_default
RUSTSEC-2024-0356,matrix-sdk-crypto,<0.7.2,matrix_sdk_crypto::UserIdentity::is_verified
RUSTSEC-2025-0043,matrix-sdk-sqlite,>=0.11.0,matrix_sdk_sqlite::SqliteEventCacheStore::find_event_relations
RUSTSEC-2023-0045,memoffset,<0.6.2,memoffset::offset_of
RUSTSEC-2024-0019,mio,">=0.7.2, <=0.8.10",mio::windows::NamedPipe::new
RUSTSEC-2020-0165,mozjpeg,<0.8.19,mozjpeg::DecompressScanlines::read_scanlines
RUSTSEC-2025-0027,mp3-metadata,<0.4.0,mp3_metadata::read_from_slice
RUSTSEC-2020-0068,multihash,<0.11.3,multihash::digests::MultihashGeneric::from_bytes
RUSTSEC-2020-0068,multihash,<0.11.3,multihash::digests::MultihashRefGeneric::from_slice
RUSTSEC-2021-0031,nano_arena,<0.5.2,nano_arena::Arena::split_at
RUSTSEC-2021-0031,nano_arena,<0.5.2,nano_arena::ArenaSplit::split_at
RUSTSEC-2024-0343,nano-id,<0.4.0,nano_id::base58
RUSTSEC-2024-0343,nano-id,<0.4.0,nano_id::base62
RUSTSEC-2024-0343,nano-id,<0.4.0,nano_id::gen
RUSTSEC-2021-0114,nanorand,>=0.5.0,nanorand::tls::tls_rand
RUSTSEC-2021-0114,nanorand,<=0.6.0,nanorand::tls::tls_rand
RUSTSEC-2019-0006,ncurses,>=0,ncurses::instr
RUSTSEC-2019-0006,ncurses,>=0,ncurses::mvprintw
RUSTSEC-2019-0006,ncurses,>=0,ncurses::mvwinstr
RUSTSEC-2019-0006,ncurses,>=0,ncurses::mvwprintw
RUSTSEC-2019-0006,ncurses,>=0,ncurses::printw
RUSTSEC-2022-0028,neon,"<0.10.1, >=0.8.0",neon::types::JsArrayBuffer::external
RUSTSEC-2022-0028,neon,"<0.10.1, >=0.8.0",neon::types::JsBuffer::external
RUSTSEC-2021-0119,nix,>=0.16.0,nix::unistd::getgrouplist
RUSTSEC-2023-0032,ntru,>=0.4.3,ntru::types::PrivateKey::export
RUSTSEC-2023-0032,ntru,>=0.4.3,ntru::types::PublicKey::export
RUSTSEC-2019-0017,once_cell,"<1.0.1, >=0.2.5",once_cell::sync::Lazy::deref
RUSTSEC-2019-0017,once_cell,"<1.0.1, >=0.2.5",once_cell::sync::Lazy::force
RUSTSEC-2019-0017,once_cell,"<1.0.1, >=0.2.5",once_cell::unsync::Lazy::deref
RUSTSEC-2019-0017,once_cell,"<1.0.1, >=0.2.5",once_cell::unsync::Lazy::force
RUSTSEC-2024-0357,openssl,"<0.10.66, >=0.8.0",openssl::bio::MemBio::get_buf
RUSTSEC-2025-0022,openssl,">=0.10.39, <0.10.72",openssl::cipher::Cipher::fetch
RUSTSEC-2025-0022,openssl,">=0.10.39, <0.10.72",openssl::md::Md::fetch
RUSTSEC-2025-0004,openssl,">=0.10.0, <0.10.70",openssl::ssl::select_next_proto
RUSTSEC-2023-0023,openssl,"<0.10.48, >=0.9.7",openssl::x509::extension::ExtendedKeyUsage::other
RUSTSEC-2023-0023,openssl,"<0.10.48, >=0.9.7",openssl::x509::extension::SubjectAlternativeName::new
RUSTSEC-2023-0072,openssl,"<0.10.60, >=0.10.29",openssl::x509::store::X509StoreRef::objects
RUSTSEC-2023-0044,openssl,"<0.10.55, >=0.10.0",openssl::x509::verify::X509VerifyParamRef::set_host
RUSTSEC-2023-0024,openssl,"<0.10.48, >=0.9.7",openssl::x509::X509Extension::new
RUSTSEC-2023-0024,openssl,"<0.10.48, >=0.9.7",openssl::x509::X509Extension::new_nid
RUSTSEC-2023-0022,openssl,"<0.10.48, >=0.9.7",openssl::x509::X509NameBuilder::build
RUSTSEC-2024-0374,ouch,<=0.3.1,ouch::archive::zip::convert_zip_date_time
RUSTSEC-2021-0152,out-reference,">=0.1.0, <0.2.0",out_reference::Out::from_raw
RUSTSEC-2019-0005,pancurses,>=0,pancurses::mvprintw
RUSTSEC-2019-0005,pancurses,>=0,pancurses::printw
RUSTSEC-2025-0016,pared,<0.4.0,pared::prc::Prc::from_rc
RUSTSEC-2025-0016,pared,<0.4.0,pared::prc::Prc::project
RUSTSEC-2025-0016,pared,<0.4.0,pared::prc::Prc::try_from_rc
RUSTSEC-2025-0016,pared,<0.4.0,pared::sync::Parc::from_arc
RUSTSEC-2025-0016,pared,<0.4.0,pared::sync::Parc::project
RUSTSEC-2025-0016,pared,<0.4.0,pared::sync::Parc::try_from_arc
RUSTSEC-2021-0041,parse_duration,* ,parse_duration::parse
RUSTSEC-2023-0082,phonenumber,"< 0.2.5, <0.3.0",phonenumber::parse
RUSTSEC-2024-0369,phonenumber,< 0.3.6,phonenumber::parse
RUSTSEC-2019-0037,pnet,<0.27.2,pnet::transport::IcmpTransportChannelIterator
RUSTSEC-2024-0408,pprof,<0.14.0,pprof::report::ReportBuilder::build
RUSTSEC-2024-0408,pprof,<0.14.0,pprof::validate
RUSTSEC-2021-0073,prost-types,<=0.7.0,prost_types::Timestamp::Into<SystemTime>
RUSTSEC-2024-0437,protobuf,<=3.4.0,protobuf::coded_input_stream::CodedInputStream::skip_group
RUSTSEC-2019-0003,protobuf,<2.6.0,protobuf::stream::read_raw_bytes_into
RUSTSEC-2025-0020,pyo3,<0.24.1,pyo3::types::PyString::from_object
RUSTSEC-2025-0020,pyo3,<0.24.1,pyo3::types::PyString::from_object_bound
RUSTSEC-2025-0020,pyo3,>=0.21.0,pyo3::types::PyString::from_object_bound
RUSTSEC-2024-0378,pyo3,"<0.22.4, >=0.22.0",pyo3::types::PyWeakrefMethods::get_object_borrowed
RUSTSEC-2024-0378,pyo3,"<0.22.4, >=0.22.0",pyo3::types::PyWeakrefMethods::upgrade_borrowed
RUSTSEC-2024-0378,pyo3,"<0.22.4, >=0.22.0",pyo3::types::PyWeakrefMethods::upgrade_borrowed_as
RUSTSEC-2024-0378,pyo3,"<0.22.4, >=0.22.0",pyo3::types::PyWeakrefMethods::upgrade_borrowed_as_exact
RUSTSEC-2024-0378,pyo3,"<0.22.4, >=0.22.0",pyo3::types::PyWeakrefMethods::upgrade_borrowed_as_unchecked
RUSTSEC-2021-0018,qwutils,<0.3.1,qwutils::imp::vec::VecExt::insert_slice_clone
RUSTSEC-2019-0035,rand_core,<0.4.2,rand_core::BlockRng::fill_bytes
RUSTSEC-2019-0035,rand_core,<0.4.2,rand_core::BlockRng::next_u64
RUSTSEC-2021-0023,rand_core,"<0.6.2, >=0.6.0",rand_core::le::read_u32_into
RUSTSEC-2021-0023,rand_core,"<0.6.2, >=0.6.0",rand_core::le::read_u64_into
RUSTSEC-2025-0032,redox_uefi_std,">=0.1.8, <0.1.14",redox_uefi_std::ffi::nstr
RUSTSEC-2023-0018,remove_dir_all,<0.8.0,remove_dir_all::ensure_empty_dir
RUSTSEC-2023-0018,remove_dir_all,<0.8.0,remove_dir_all::remove_dir_all
RUSTSEC-2023-0018,remove_dir_all,<0.8.0,remove_dir_all::remove_dir_contents
RUSTSEC-2019-0018,renderdoc,<0.5.0,renderdoc::api::RenderDocV110::trigger_multi_frame_capture
RUSTSEC-2019-0018,renderdoc,<0.5.0,renderdoc::api::RenderDocV120::set_capture_file_comments
RUSTSEC-2021-0054,rkyv,<0.6.0,rkyv::Archive::resolve
RUSTSEC-2020-0028,rocket,"<0.4.5, >=0.4.0",rocket::local::LocalRequest::clone
RUSTSEC-2022-0046,rocksdb,<0.19.0,rocksdb::DBWithThreadMode::open_cf_descriptors_with_ttl
RUSTSEC-2020-0023,rulinalg,>=0.4.0,rulinalg::matrix::RowMut::raw_slice
RUSTSEC-2020-0023,rulinalg,>=0.4.0,rulinalg::matrix::RowMut::raw_slice_mut
RUSTSEC-2021-0128,rusqlite,">=0.25.0, <0.25.4",rusqlite::Connection::commit_hook
RUSTSEC-2021-0128,rusqlite,">=0.26.0, <0.26.2",rusqlite::Connection::commit_hook
RUSTSEC-2021-0128,rusqlite,">=0.25.0, <0.25.4",rusqlite::Connection::create_aggregate_function
RUSTSEC-2021-0128,rusqlite,">=0.26.0, <0.26.2",rusqlite::Connection::create_aggregate_function
RUSTSEC-2021-0128,rusqlite,">=0.25.0, <0.25.4",rusqlite::Connection::create_collation
RUSTSEC-2021-0128,rusqlite,">=0.26.0, <0.26.2",rusqlite::Connection::create_collation
RUSTSEC-2021-0128,rusqlite,">=0.25.0, <0.25.4",rusqlite::Connection::create_scalar_function
RUSTSEC-2021-0128,rusqlite,">=0.26.0, <0.26.2",rusqlite::Connection::create_scalar_function
RUSTSEC-2021-0128,rusqlite,">=0.25.0, <0.25.4",rusqlite::Connection::create_window_function
RUSTSEC-2021-0128,rusqlite,">=0.26.0, <0.26.2",rusqlite::Connection::create_window_function
RUSTSEC-2020-0014,rusqlite,<0.23.0,rusqlite::Connection::get_aux
RUSTSEC-2021-0128,rusqlite,">=0.25.0, <0.25.4",rusqlite::Connection::rollback_hook
RUSTSEC-2021-0128,rusqlite,">=0.26.0, <0.26.2",rusqlite::Connection::rollback_hook
RUSTSEC-2020-0014,rusqlite,<0.23.0,rusqlite::Connection::set_aux
RUSTSEC-2021-0128,rusqlite,">=0.25.0, <0.25.4",rusqlite::Connection::update_hook
RUSTSEC-2021-0128,rusqlite,">=0.26.0, <0.26.2",rusqlite::Connection::update_hook
RUSTSEC-2020-0014,rusqlite,<0.23.0,rusqlite::session::Session::attach
RUSTSEC-2020-0014,rusqlite,<0.23.0,rusqlite::session::Session::diff
RUSTSEC-2020-0014,rusqlite,<0.23.0,rusqlite::trace::log
RUSTSEC-2020-0014,rusqlite,<0.23.0,rusqlite::vtab::create_module
RUSTSEC-2024-0007,rust-i18n-support,"<3.0.1, >=3.0.0",rust_i18n_support::AtomicStr::as_str
RUSTSEC-2022-0004,rustc-serialize,* ,rustc_serialize::json::Json::from_str
RUSTSEC-2024-0336,rustls,<=0.23.4,rustls::ConnectionCommon::complete_io
RUSTSEC-2024-0336,rustls,<=0.22.3,rustls::ConnectionCommon::complete_io
RUSTSEC-2024-0336,rustls,<=0.21.10,rustls::ConnectionCommon::complete_io
RUSTSEC-2024-0336,rustls,^0.20,rustls::ConnectionCommon::complete_io
RUSTSEC-2025-0033,scanner,<=0.1.0,scanner::Match::get
RUSTSEC-2025-0033,scanner,<=0.1.0,scanner::Match::ptr
RUSTSEC-2021-0030,scratchpad,<1.3.1,scratchpad::SliceMoveSource::move_elements
RUSTSEC-2025-0049,scratchpad,<=1.3.1,scratchpad::Tracking::get
RUSTSEC-2025-0049,scratchpad,<=1.3.1,scratchpad::Tracking::set
RUSTSEC-2022-0070,secp256k1,<0.22.2,secp256k1::Secp256k1::preallocated_gen_new
RUSTSEC-2022-0070,secp256k1,">=0.23.0, <0.23.5",secp256k1::Secp256k1::preallocated_gen_new
RUSTSEC-2022-0070,secp256k1,">=0.24.0, <0.24.2",secp256k1::Secp256k1::preallocated_gen_new
RUSTSEC-2024-0345,sequoia-openpgp,">=1.13.0, <1.21.0",sequoia_openpgp::cert::raw::RawCertParser
RUSTSEC-2024-0006,shlex,<1.2.1,shlex::bytes::join
RUSTSEC-2024-0006,shlex,<1.2.1,shlex::bytes::quote
RUSTSEC-2024-0006,shlex,<1.2.1,shlex::join
RUSTSEC-2024-0006,shlex,<1.2.1,shlex::quote
RUSTSEC-2025-0047,slab,,slab::Slab::get_disjoint_mut
RUSTSEC-2025-0044,slice-ring-buffer,<=0.3.4,slice_ring_buffer::IntoIter::clone
RUSTSEC-2025-0044,slice-ring-buffer,<=0.3.4,slice_ring_buffer::SliceRingBuffer::extend_from_slice
RUSTSEC-2025-0044,slice-ring-buffer,<=0.3.4,slice_ring_buffer::SliceRingBuffer::insert
RUSTSEC-2025-0044,slice-ring-buffer,<=0.3.4,slice_ring_buffer::SliceRingBuffer::shrink_to_fit
RUSTSEC-2019-0009,smallvec,"<0.6.10, >=0.6.5",smallvec::SmallVec::grow
RUSTSEC-2019-0012,smallvec,"<0.6.10, >=0.6.3",smallvec::SmallVec::grow
RUSTSEC-2021-0003,smallvec,">=0.6.3, <0.6.14",smallvec::SmallVec::insert_many
RUSTSEC-2021-0003,smallvec,">=1.0.0, <1.6.1",smallvec::SmallVec::insert_many
